"","1","2","3","4","5","6","7","8","9","10","11","12","EU"
"Belgio","0.000127808","0.000115913","6.54E-5","0.005866","0.0014","0.17","7.58","0.6","0.19","0.003819","0.048","0.098","Europa occidentale"
"Germania","0.000164943","0.000151261","6.55E-5","0.00825","0.001271","0.26","9","0.53","0.43","0.003995","0.094","0.026","Europa occidentale"
"Estonia","0.000126917","0.000147437","6.61E-5","0.004894","0.000525","0.18","7.6","0.42","0.46","0.000933","0.053","0.013","Europa settentrionale"
"Irlanda","9.03E-5","7.57E-5","1.38E-5","0.002585","0.000352","0.14","6","0.43","0.32","0.004012","0.064","0.029","Europa settentrionale"
"Grecia","0.000362686","0.000299356","0.000125105","0.004224","0.00072","0.14","7.3","0.47","0.28","0.001283","0.047","0.032","Europa meridionale"
"Spagna","0.000259502","0.000113368","3.39E-5","0.002964","0.000357","0.11","7.36","0.53","0.22","0.002017","0.046","0.038","Europa meridionale"
"Francia","0.000116329","7.39E-5","6.14E-5","0.00621","0.000873","0.19","8.87","0.52","0.27","0.003751","0.06","0.093","Europa occidentale"
"Croazia","0.000187906","0.000188848","4.80E-5","0.005891","0.000988","0.17","8.79","0.48","0.31","0.000685","0.037","0.018","Europa meridionale"
"Italia","0.000287829","0.000156953","7.16E-5","0.003211","9.28E-5","0.12","7.76","0.38","0.2","0.002374","0.034","0.035","Europa meridionale"
"Cipro","0.000277389","0.000206294","0.000104895","0.003394","0.000218","0.08","6.4","0.36","0.21","0.001412","0.011","0.017","Cipro"
"Lettonia","0.000127906","0.000166878","6.55E-5","0.005635","0.00126","0.18","8.31","0.41","0.54","0.000645","0.043","0.019","Europa settentrionale"
"Lituania","0.000264314","0.000220828","6.62E-5","0.007236","0.001079","0.23","7.87","0.4","0.57","0.00077","0.044","0.017","Europa settentrionale"
"Lussemburgo","0.000152816","0.000110974","7.46E-5","0.005114","0.000813","0.14","8.76","0.55","0.35","0.004928","0.081","0.039","Europa occidentale"
"Malta","0.000158352","0.000139722","3.49E-5","0.004643","0.001312","0.16","7.87","0.47","0.33","0.001851","0.046","0.057","Europa meridionale"
"Austria","0.000157503","0.000214627","9.24E-5","0.007618","0.000745","0.26","8.2","0.49","0.34","0.00406","0.07","0.017","Europa occidentale"
"Polonia","0.000135279","0.000158952","3.28E-5","0.006626","0.000652","0.17","6.9","0.48","0.52","0.000676","0.035","0.022","Europa orientale"
"Portogallo","0.000183557","0.00016802","3.51E-5","0.003311","0.00063","0.11","8.9","0.56","0.24","0.001551","0.059","0.02","Europa meridionale"
"Romania","0.00012538","0.000123475","4.67E-5","0.006699","0.000843","0.21","7.49","0.23","0.15","0.000379","0.003","0.014","Europa orientale"
"Slovenia","0.000278494","0.000169813","3.49E-5","0.004539","0.000662","0.18","6.9","0.46","0.33","0.001552","0.021","0.028","Europa meridionale"
"Finlandia","0.000132079","8.66E-5","3.52E-5","0.004539","0.000607","0.17","10.6","0.55","0.7","0.003712","0.08","0.043","Europa settentrionale"
"Svezia","0.000103993","0.000161744","4.00E-5","0.002551","0.000451","0.16","5.79","0.47","0.4","0.004981","0.086","0.019","Europa settentrionale"
"Gran Bretagna","0.000152926","0.000138195","3.76E-5","0.00274","0.000461","0.13","7.08","0.53","0.43","0.003574","0.036","0.038","Europa settentrionale"
"Bulgaria","0.000236969","0.000220545","4.84E-5","0.007108","0.000668","0.32","5.4","0.39","0.37","0.000456","0.016","0.03","Europa orientale"
"Slovacchia","0.00018309654347826","0.000156928","5.65E-5","0.005788","0.000818","0.19","7.5","0.45","0.44","0.000971","0.033","0.013","Europa orientale"
