"","Draft-Year","GP","MIN","PTS","FGA","FGP","3PA","3PP","FTA","FTP","OREB","DREB","AST","BLK","PF","Classe"
"Karl-Anthony Towns","2015","82","32","18.3","14.1","54.2","1.1","34.1","3.4","81.1","2.8","7.7","2","1.7","3","1"
"Emmanuel Mudiay","2015","68","30.4","12.8","13.3","36.4","3.4","31.9","3.1","67","0.5","2.9","5.5","0.5","2.1","1"
"Jahlil Okafor","2015","53","30","17.5","14.7","50.8","0.1","16.7","3.7","68.6","2.3","4.7","1.2","1.2","2.6","1"
"Justise Winslow","2015","78","28.6","6.4","5.9","42.2","1.5","27.6","1.5","68.4","1","4.1","1.5","0.3","2.4","1"
"Kristaps Porzingis","2015","72","28.4","14.3","12.3","42.1","3.4","33.3","3.3","83.8","1.8","5.5","1.3","1.9","2.8","1"
"D'Angelo Russell","2015","80","28.2","13.2","12","41","4.6","35.1","2.4","73.7","0.6","2.8","3.3","0.2","1.8","1"
"Devin Booker","2015","76","27.7","13.8","11.4","42.3","3.8","34.3","3.4","84","0.4","2.1","2.6","0.3","3","1"
"Stanley Johnson","2015","73","23.1","8.1","8.2","37.5","2.8","30.7","1.4","78.4","0.8","3.4","1.6","0.2","2.4","1"
"Myles Turner","2015","60","22.8","10.3","8.8","49.8","0.2","21.4","2","72.7","1.1","4.4","0.7","1.4","2.6","1"
"Willie Cauley-Stein","2015","66","21.4","7","5.1","56.3","0","0","1.9","64.8","2","3.3","0.6","1","2.2","1"
"Josh Richardson","2015","52","21.3","6.6","5.2","45.2","2.2","46.1","1.2","66.7","0.4","1.7","1.4","0.5","2.1","1"
"Rondae Hollis-Jefferson","2015","29","21.2","5.8","4.8","45.7","0.5","28.6","1.8","71.2","1.3","4","1.5","0.6","2.1","1"
"Frank Kaminsky","2015","81","21.1","7.5","6.5","41","2.5","33.7","1.8","73","0.9","3.3","1.2","0.5","1.6","1"
"Anthony Brown","2015","29","20.6","4","4.3","31","2.4","28.6","0.7","85","0.3","2.1","0.7","0.2","1.2","0"
"Larry Nance Jr","2015","63","20.1","5.5","4.8","52.7","0.2","10","0.7","68.1","1.6","3.3","0.7","0.4","2","1"
"Mario Hezonja","2015","79","17.9","6.1","5.3","43.3","2.4","34.9","0.7","90.7","0.4","1.9","1.4","0.2","1.6","1"
"Bobby Portis","2015","62","17.8","7","7","42.7","0.8","30.8","1.1","72.7","2","3.5","0.8","0.4","1.6","1"
"Trey Lyles","2015","80","17.3","6.1","5.5","43.8","1.6","38.3","1","69.5","0.7","3","0.7","0.2","1.4","1"
"Jerian Grant","2015","76","16.6","5.6","5.1","39.4","1.3","22","1.6","78","0.3","1.6","2.3","0.1","1.3","1"
"Tyus Jones","2015","37","15.5","4.2","4.2","35.9","1.4","30.2","1.1","71.8","0.2","1.1","2.9","0.1","0.9","1"
"Chris McCullough","2015","24","15.1","4.7","4.5","40.4","1.4","38.2","1","47.8","1","1.8","0.4","0.5","1.6","0"
"Norman Powell","2015","49","14.8","5.6","4.7","42.4","1.8","40.4","1.1","81.1","0.3","1.9","1","0.2","1.2","1"
"Rashad Vaughn","2015","70","14.3","3.1","3.8","30.5","2.1","29.3","0.2","80","0.2","1.1","0.6","0.2","1","0"
"Jarell Martin","2015","27","14.1","5.7","4.3","46.6","0.1","0","2.3","72.6","1.4","1.7","0.6","0.3","2.1","0"
"Richaun Holmes","2015","51","13.8","5.6","4.4","51.4","0.9","18.2","1.5","68.9","1.2","1.4","0.6","0.8","1.8","1"
"Cameron Payne","2015","57","12.2","5","4.9","41","1.9","32.4","0.4","79.2","0.2","1.3","1.9","0.1","1.4","1"
"Justin Anderson","2015","55","11.8","3.8","3.2","40.6","1.5","26.5","1","80","0.3","2.1","0.5","0.5","0.8","1"
"Kelly Oubre Jr","2015","63","10.7","3.7","3.3","42.7","1.3","31.6","0.8","63.3","0.4","1.7","0.2","0.1","1.6","1"
"Darrun Hilliard","2015","38","10.1","4","3.4","39.7","1.3","38","1.1","72.5","0.1","1.1","0.7","0","0.7","0"
"Pat Connaughton","2015","34","4.2","1.1","1.4","26.5","0.6","23.8","0.1","100","0.3","0.6","0.3","0","0.2","1"
"Jordan Mickey","2015","16","3.6","1.3","1.4","36.4","0","0","0.6","50","0.4","0.4","0.1","0.7","0.3","0"
"Montrezl Harrell","2015","39","9.7","3.6","2.3","64.4","0","0","1.2","52.2","0.6","1","0.4","0.3","1.2","1"
"Rakeem Christmas","2015","1","6.1","4","2","100","0","0","0","0","1","0","0","0","1","0"
"Delon Wright","2015","27","8.5","3.8","3","45","0.5","38.5","1.3","74.3","0.3","1.1","1.1","0.1","0.3","1"
"Terry Rozier","2015","39","8","1.8","2.7","27.4","0.7","22.2","0.3","80","0.6","1","0.9","0","0.6","1"
"Joe Young","2015","41","9.4","3.8","4.1","36.7","1.1","21.7","0.6","80","0.1","1.1","1.6","0","0.7","0"
"RJ Hunter","2015","36","8.7","2.7","2.7","36.7","1.8","30.2","0.2","85.7","0.1","1","0.4","0.1","0.8","0"
"Branden Dawson","2015","6","4.8","0.8","0.8","40","0","0","0.2","100","0.3","0.3","0","0.2","0.3","0"
"Andrew Wiggins","2014","82","36.2","16.9","13.9","43.7","1.5","31","5.7","76","1.6","2.9","2.1","0.6","2.3","1"
"Elfrid Payton","2014","82","30.4","8.9","8.6","42.5","0.5","26.2","2.6","55.1","1.3","3","6.5","0.2","2.4","1"
"Jabari Parker","2014","25","29.5","12.3","10.5","49","0.6","25","2.6","69.7","2","3.5","1.7","0.2","1.7","1"
"Marcus Smart","2014","67","27","7.8","7.1","36.7","4.1","33.5","1.9","64.6","0.9","2.4","3.1","0.3","2.6","1"
"Jordan Clarkson","2014","59","25","11.9","10.1","44.8","2.1","31.4","2.7","82.9","0.9","2.3","3.5","0.2","1.8","1"
"Zach LaVine","2014","77","24.7","10.1","8.8","42.2","2.2","34.1","2.3","84.2","0.4","2.4","3.6","0.1","2.1","1"
"Adreian Payne","2014","32","23.1","6.7","6.9","41.4","0.3","11.1","1.4","65.2","1.5","3.6","0.9","0.3","2.8","0"
"Dante Exum","2014","82","22.2","4.8","5.1","34.9","3.2","31.4","0.4","62.5","0.3","1.3","2.4","0.2","1.8","1"
"Rodney Hood","2014","50","21.3","8.7","7.5","41.4","3.4","36.5","1.6","76.3","0.2","2.2","1.7","0.2","2.4","1"
"Jerami Grant","2014","65","21.2","6.3","5.4","35.2","2.4","31.4","3","59.1","0.8","2.3","1.2","1","2.2","1"
"Shabazz Napier","2014","51","19.8","5.1","4.5","38.2","2.3","36.4","1.1","78.6","0.3","1.9","2.5","0.1","1.5","1"
"Jusuf Nurkic","2014","62","17.8","6.9","6.2","44.6","0","0","2.1","63.6","2","4.1","0.8","1.1","3.3","1"
"Aaron Gordon","2014","47","17","5.2","4.4","44.7","1","27.1","1.3","72.1","1","2.6","0.7","0.5","1.8","1"
"Nik Stauskas","2014","73","15.4","4.4","4.1","36.5","2","32.2","0.9","85.9","0.2","1.1","0.9","0.2","1.3","1"
"TJ Warren","2014","40","15.4","6.1","5.4","52.8","0.5","23.8","0.5","73.7","1","1.1","0.6","0.2","1.3","1"
"Spencer Dinwiddie","2014","34","13.4","4.3","5","30.2","1.9","18.5","1","91.2","0.1","1.3","3.1","0.2","1.6","1"
"Gary Harris","2014","55","13.1","3.4","3.9","30.4","1.9","20.4","0.9","74.5","0.4","0.8","0.5","0.1","1.3","1"
"Tyler Ennis","2014","33","12.5","3.7","4.4","36.1","1.3","27.9","0.2","71.4","0.2","0.8","2.2","0.2","1.1","0"
"Kyle Anderson","2014","33","10.8","2.2","2.7","34.8","0.3","27.3","0.4","64.3","0.2","2","0.8","0.2","0.8","1"
"Johnny O'Bryant III","2014","34","10.8","2.9","3.5","36.7","0","0","0.8","44.4","0.8","1.1","0.5","0.1","1.3","0"
"James Young","2014","31","10.7","3.4","3.3","35.3","2.1","25.8","0.9","55.2","0.3","1.1","0.4","0.1","0.7","0"
"Noah Vonleh","2014","25","10.3","3.3","3","39.5","0.5","38.5","1","69.2","1.1","2.3","0.2","0.4","0.8","1"
"Damien Inglis","2014","20","7.8","1.8","1.9","35.1","0.7","23.1","0.4","87.5","0.1","1.5","0.5","0.2","0.6","0"
"Joe Harris","2014","51","9.7","2.7","2.4","40","1.6","36.9","0.3","60","0.1","0.7","0.5","0","1.2","1"
"Jarnell Stokes","2014","19","6.6","3","1.9","56.8","0","0","1.5","53.6","0.8","0.9","0.2","0.3","1.3","0"
"Nick Johnson","2014","28","9.4","2.6","2.7","34.7","0.8","23.8","0.9","68","0.5","0.9","0.4","0.1","1.2","0"
"Edy Tavares","2014","11","6.6","2.3","1.7","57.9","0","0","0.7","37.5","0.6","1.3","0.3","0.5","0.7","0"
"Russ Smith","2014","12","5.4","2.5","2.1","32","0.9","18.2","1.1","92.3","0.1","0.4","0.7","0","1.1","0"
"Cameron Bairstow","2014","18","3.5","0.6","0.8","21.4","0","0","0.3","80","0.3","0.1","0.1","0.1","0.4","0"
"Devyn Marble","2014","16","13","2.3","2.8","31.8","1.4","18.2","1","31.3","0.3","1.6","1.1","0.1","0.9","0"
"CJ Wilcox","2014","21","4.8","2","1.8","42.1","0.9","36.8","0.1","100","0","0.3","0.4","0","0.3","0"
"Carrick Felix","2013","7","5.4","2.7","2","50","0.7","40","0.6","75","0.1","0.7","0.6","0","0.6","0"
